name,slope (fullness/day),mse,test_rse,r_squared
104243,0.045713599228766735,2.6807306026210584,135.39855223040718,-4001.801698580482
104246,0.024441096644341482,0.015471613009338506,133.9498921542558,0
107029 | 6436,0.08028274283963101,0.0035780205044426716,2.150024899854212,0.39459014956217486
107031 | 6348,0.02604471914632661,0.007489346121054794,2.335571934247695,0.5779980491626866
107034 | 8104,0.0554383379912031,0.015450651510634919,2.1962859937439125,0.17250391874026438
107036 | 2AA8,0.011806596971885009,0.00314262829615278,4.144424645510137,0.7863025971486463
107038 | 2B8D,0.034851077717326026,0.010070777535311421,2.5077404293057217,0.5546867558140471
107041 | 470A,0.053731603170789476,0.005680766505920173,1.9200621002548341,0.15675358137394813
107048 | 671B,0.04910747734184865,0.005212539106508146,1.5667182969100912,0.8820973501692972
107055 | 2C76,0.04526144813913478,0.006229305496515266,1.5572143741997126,0.8506950417181205
107067 | 84A1,0.018956195968112665,0.002757756020121938,2.0930253257977927,0.8837368071039386
107068 | 4455,0.03640204602677669,0.0031036199730629962,2.4862270463488603,-0.20815976031936212
107077 | 2CC4,0.03409477014319308,1.4096538024827405,26.462796208572772,-59.69054185605948
107096 | 4814,0.19809266742364398,0.018980324738976203,0.501571607439815,0.8094791218213067
107108 | 0AEA,0.0658755943447948,0.003717777089110081,329.1185029097957,-57423.910819640725
107112 | 2B88,0.03126046603780892,0.004736371567789579,2.933718012769025,0.3451549682333924
107114 | 654B,0.023018490693443753,0.004087030138354464,2.917326446587561,0.5910803491614418
107122 | 6370,0.022810301339657682,0.0030685428367263796,2.860198556002693,0.7149794430505328
107123 | 980F,0.02355489399941984,0.006953890671010875,6.183963497828003,0.05313618062471415
107127 | 817E,0.035621133370999404,0.009028098294618857,123.22796434162066,-551.1661236106902
107131 | 808C,0.10338923171614413,0.00573534638166676,0.6137003205107207,0.6285189580965209
107132 | 255E,0.03504814715943605,0.013366625879586268,4.472557535591624,-1.833799729309559
