name,slope (fullness/day),mse,test_rse,r_squared
104244,0.0769300037358522,0.009006075564501323,1.2738204958424946,0.7655315883021774
104250,0.02679920735962566,0.0051024548268284245,3.26027379115296,0.46398603074291245
107040 | 8572,0.038142207679651284,0.002558289051280836,3.4977900919032296,0.6055740695844432
107047 | 0D1A,0.04953737674984949,0.33618234264556957,1.0523524502217614,0.8428454008041364
107049 | 4B00,0.043041429706366444,0.009334963161532003,1.7703629604199205,0.6509683819748766
107058 | 282C,0.027568242592012345,0.0026423395110770184,1.7308257754691638,0.861235922612702
107062 | 49A3,0.06217410464187722,0.0047511257487384585,1.712860272828588,0.3355147189158806
107064 | 4B16,0.06762778826682724,0.004809056477718811,1.5525756516583789,0.4871064842361833
107065 | 4A3D,0.04395051924247604,0.003970009844311815,1.4609162380226248,0.8859646633479751
107066 | 0F09,0.033691127638949284,0.002776001300821004,1.0533961955943905,0.9423413196887016
107072 | F389,0.058002352624532794,0.0062233917738713325,0.7298923659558358,0.8529912265173569
107075 | 2B2A,0.017134980034304782,0.006501304580286318,2.987414030884669,0.3501249187170995
107095 | 64BC,0.12240466484203917,0.0062174285520569614,1.2448039963928315,0.008309107507522562
107098 | 0DE6,0.03256671738649378,0.001962595451059301,1.069138742610481,0.8690070981154518
107113 | F502,0.055117097635192513,0.002883641147288445,0.8266284088091391,0.8538661217072847
107115 | 7F12,0.06266045878556852,0.0024481068640984896,27.995047279510242,-145.02598832528216
107121 | 679F,0.02039037692768591,0.003438576550755326,6.135562858251622,-1.3549729692242765
107124 | 2503,0.1096905666184685,0.006143019552929692,0.6588282004592719,0.8620499729947857
107129 | 4AE2,0.1218850023969476,0.0026878197385951635,0.4280569854128087,0.9567291026171969
